"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen waarin worden gebezigd krachtswerktuigen, gedreven door stoom, gas, heete lucht, enz.; water of wind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der Beroepsklasse ,Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Nummer der Beroepsklasse,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,12,Ondernemers van stoombootdiensten,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,3,,12,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,13,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,13,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,14,Reeders,A,,,,,,,,,,,,,,,2,,,,,,,7,2,,,11,1,1,,14,1,2,,8,,,,1,,,,1,1,,,,,,,42,7,3,,45,7,14,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,15,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,7,1,,,4,,,,,,,,,,,,,,,,,,,,12,1,,,12,1,15,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,16,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,16,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,17,Stokers,D,,,,,,,,1,,,8,,,2,49,,,11,10,,,75,29,,,62,6,,,17,,,,4,,,,2,,,,,,,,,,,,173,103,,,173,103,17,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,18,Stuurlieden,C,,,,,,,,,,,7,,,2,19,,,1,7,,,30,23,,,53,11,,,12,1,,,2,,,,1,,,,,,,,,,,,101,68,,,101,68,18,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,d,,Binnenscheepvaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,19,Bootenverhuurders,A,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,19,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,20,Bootwerkers,C ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,20,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,21,id.,D,,,,,,,,1,,,12,,,5,33,,,24,38,,,156,30,,,214,27,,,82,11,,,20,,,,16,,,,1,,,,,,,,518,152,,,518,152,21,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,22,Commissarissen van beurtveeren,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,5,,1,,3,,,,2,,,,1,2,,,,3,,,,,,,12,6,1,,13,6,22,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,23,Gezagvoerders,A,,,,,,,,,,,,,,1,,,,1,,,,14,1,,,22,,,,9,,,,2,,,,3,,,,1,,,,,,,,53,1,,,53,1,23,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,24,id.,B,,,,,,,,,,,,,,1,1,,,1,,,,22,4,,,44,1,,,14,,,,2,,,,2,,,,,,,,,,,,86,6,,,86,6,24,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,25,Matrozen,D,,1,,,,2,,6,,,19,,,12,44,,,6,18,,,47,22,,,42,8,,,13,,,,2,1,,,2,1,,,,,,,,,,,124,122,,,124,122,25,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,26,Schippers,A,,,,,,,,,,,1,,,6,15,,,16,10,,,164,22,1,,295,20,2,1,147,2,11,,44,2,3,,39,,2,,12,,7,,,,,,723,72,26,1,749,73,26,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,27,id.,B,,,,,,,,,,,1,,,,1,,,2,,,,46,11,1,,65,2,,,16,,,,5,,1,,9,,,,4,,,,,,,,147,15,2,,149,15,27,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,28,id.,C,,,,,,,,,,,,,,,1,,,,,,,13,2,,,9,1,,,3,,,,1,,,,2,,,,,,,,,,,,28,4,,,28,4,28,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,29,id.,D,,8,,4,,16,,61,,,123,,,5,227,,,45,101,,,442,209,,,461,67,,,182,26,,,76,3,,,37,,,,24,3,,,,,,,1272,848,,,1272,848,29,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,30,Schuitenjagers,D,,,,,,,,,,,,,,,1,,,,,,,11,1,,,7,,,,4,,,,,,,,,,,,,,,,,,,,22,2,,,22,2,30,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,31,Schuitenverhuurders,A,,,,,,,,,,,,,,,1,,,,,,,1,,,,3,,1,,,,,,,,,,1,,,,,,,,,,,,5,1,1,,6,1,31,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,32,Stuurlieden,C,,,,,,,,,,,,,,,1,,,1,1,,,8,2,,,9,2,,,3,,,,,,,,1,,,,,,,,,,,,22,6,,,22,6,32,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,33,Veerlieden,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,2,,33,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,34,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,4,1,,,11,,,,2,,,,,,,,1,,,,,,,,18,2,,,18,2,34,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,e,,"Posterij, telegraphie, telephonie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,35,Brievenbestellers,D,,,,,,,,,,,,,,2,4,,,5,9,,,189,34,,,169,5,,,12,,,,2,,,,2,,,,,,,,,,,,381,52,,,381,52,35,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,36,Ingenieurs,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,36,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,37,Postambtenaren en beambten,B,,,,,,,,,,,,,,,5,,,,2,,,1,,,,7,,,,5,2,,,1,,,,2,1,,,,,,,,,,,16,10,,,16,10,37,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,38,id.,C,,,,,,,,,,,,,,,10,,,15,21,,,32,50,,,22,14,,,6,,,,,,,,1,1,,,,,,,,,,,76,96,,,76,96,38,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,39,id.,D,,,,,,,,,,,1,,1,,4,,,4,4,,1,44,8,,,61,2,,,13,1,,,2,,,,,,,,1,,,,,,,,125,20,,2,125,22,39,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,40,Telegraphieambtenaren en beambten,B,,,,,,,,,,,,,,,,,,,,,2,,,,,3,3,,,9,,,,1,,,,,,,,,,,,,,,,13,3,,2,13,5,40,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,41,id.,C,,,,,,,,,,,1,,,,28,,3,1,30,,4,56,65,1,10,101,27,,,25,7,,,2,,,,1,,,,,,,,,,,,186,158,1,17,187,175,41,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,42,id.,D,,,,1,,,,1,,,2,,,,3,,,2,3,,,24,14,,,18,5,,,3,,,,1,,,,,,,,,,,,,,,,48,29,,,48,29,42,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,43,Telgrambestellers,D,,,,,,,,2,,,5,,,1,10,,,6,13,,,42,21,,,25,4,,,6,,,,4,,,,,,,,,,,,,,,,84,55,,,84,55,43,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,44,Telephoonbeambten,C,,,,,,,,,,,1,,1,,2,,12,,1,,5,4,,,13,1,,,1,1,,,,,,,,,,,,,,,,,,,,6,4,,32,6,36,44,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,45,id.,D,,,,,,,,1,,,,,1,,,,9,,,,1,2,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,4,1,,11,4,12,45,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,f,,"Expeditie, vrachters, bestellers, sjouwerlieden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,46,Bestelhuishouders en dienstverrichting,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,46,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,47,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,47,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,48,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,48,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,49,id.,D,,,,,,,,6,,,5,,,5,17,,,6,10,,1,94,21,,,124,17,1,,68,4,,,13,2,1,,5,1,,,2,1,,,,,,,317,84,2,1,319,85,49,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,50,Emballeurs,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,50,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,51,id.,D,,,,,,,,1,1,,,,,,,,1,1,,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,7,1,,2,7,3,51,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,52,Expediteurs,A,,,,,,,,,,,,,,,2,,,,1,,,26,10,,,53,13,3,,28,2,,,8,,,,4,,,,5,,,,,,,,124,28,3,,127,28,52,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,53,id.,B,,,,,,,,,,,,,,,1,,,,,,,4,3,,,6,,,,1,,,,,2,,,,,,,,,,,,,,,11,6,,,11,6,53,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,54,id.,C,,,,,,1,,,,,1,,,,9,,,,2,,,9,7,,,24,,,,5,2,,,3,,,,2,,,,,,,,,,,,43,22,,,43,22,54,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,55,id.,D,,,,,,2,,2,,,1,,,,18,,,1,5,,,46,12,,,48,3,,,25,,,,7,,,,3,,,,3,,,,,,,,133,43,,,133,43,55,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,56,Kruiers,A,,,,,,,,,,,1,,,1,5,,,6,2,,,32,5,,,74,7,4,,45,3,6,1,17,,,,11,,4,,4,,,,,,,,190,23,14,1,204,24,56,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,57,id.,D,,,,2,,2,,4,,,19,,,3,47,,,9,26,,,133,40,2,,138,22,3,1,55,6,4,1,26,1,2,,10,,1,,4,,1,,,,,,378,169,13,2,391,171,57,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,,,58,Loopknechts en pakkendragers,D,,1,,102,12,220,34,592,54,,479,,35,33,605,,18,44,122,,6,477,253,2,4,660,121,13,4,296,36,17,4,131,11,6,2,64,2,4,3,58,3,4,,,,,,1763,2547,46,176,1809,2723,58,BT ,1889_02_T1,46,47,HET RIJK,29_0392
,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,1,Scheepsbevrachters en lichters,A,,,,,,,,,,,,,,,,,,,,,,3,4,,,21,1,,,13,,,,1,,,,3,,,,3,,,,,,,,44,5,,,44,5,1,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,2,id.,D,,,,,,,,,,,,,,,,,,,,,,4,1,,,2,,,,,,,,2,,,,2,,,,1,,,,,,,,11,1,,,11,1,2,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,3,Sjouwerslieden,C,,,,,,,,,,,,,,,,,,,,,,4,,,,5,1,,,1,,,,1,,,,,,,,,,,,,,,,11,1,,,11,1,3,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,4,id.,D,,4,,4,,2,,68,,1,206,,,125,1041,2,4,147,370,,,2216,849,2,1,3360,507,8,2,1660,141,5,,544,36,,2,340,15,1,1,110,7,,,1,1,,,8504,3251,18,10,8522,3261,4,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,5,Turfdragers,D,,,,,,,,,,,,,,,1,,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,5,2,,,5,2,5,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,g,,"Logement- en koffiehuishouderij, tapperij, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,6,Bierhuishouders,A,,,,,,,,,,,,,,,1,,,1,2,,6,25,9,31,22,41,4,58,10,14,8,12,2,1,,2,1,1,,1,1,,,2,,,,,,83,24,106,42,189,66,6,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,7,id.,B,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,,1,3,2,7,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,8,Buffetchefs en juffrouwen,C,,,1,,,,,,4,,,,11,,4,,45,,3,1,28,2,2,8,75,1,3,3,16,,,3,2,,,,,,,1,,,,,,,,,,3,12,16,182,19,194,8,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,9,Commensalenhouders,A,,,,,,,,,,,,,,,,,,,,,,1,,12,5,2,,25,12,3,,24,5,2,,10,1,,,1,1,1,,5,1,,,,,9,,77,25,86,25,9,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,10,Gaarkeukenhouders,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,10,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,11,Hotel- en logementhouders,A,,,,,,,,,,,,,,1,,1,1,2,1,,1,22,13,8,2,97,7,34,3,45,3,28,2,10,1,6,2,5,,4,,3,1,4,,,,,,185,26,85,11,270,37,11,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,12,id.,B,,,,,,,,,,,,,,,,,,1,,,,3,2,,,12,2,1,,3,,1,,,,1,,,,,,,,,,,,,,19,4,3,,22,4,12,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,13,Koffiehuishouders,A,,,,,,,,,,,,,,2,2,1,1,6,2,4,,84,11,20,12,226,7,65,4,78,11,20,3,16,1,3,1,14,,4,1,2,,1,1,,,,,428,34,118,23,546,57,13,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,14,id.,B,,,,,,,,,,,1,,,,2,1,,1,,,,27,4,4,2,27,2,4,1,9,,1,,,,,,1,,,,,,,,,,,,65,9,10,3,75,12,14,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,15,Kellners en kelnerinnen,D,,,,2,,2,2,40,,,83,,4,9,224,,47,48,79,1,25,285,225,3,31,330,58,,2,50,9,1,,18,,,,7,1,1,,,,,,,,,,747,723,6,111,753,834,15,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,16,Restaurateurs,A,,,,,,,,,,,,,,,,,,,,,1,8,3,2,,21,1,8,2,9,,4,,,,2,1,,,,,1,,,,,,,,39,4,16,4,55,8,16,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,17,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,,,,,1,,,,,,,,,,,,,,,,3,1,1,,4,1,17,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,18,Schafthuishouders,A,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,,2,2,3,,14,,,1,3,,,,1,,1,,,,,,,,7,1,24,4,31,5,18,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,19,Tappers (incl. herbergiers),A,,,,,,,,1,,,2,,1,4,2,5,4,24,10,5,3,254,21,152,24,519,21,306,21,175,10,142,4,43,1,54,2,29,1,31,2,14,,17,1,,,,,1062,69,712,62,1774,131,19,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,20,id.,B,,,,,,,,,,,,,,,,,,,,,,7,5,1,3,11,,,,1,1,1,,1,,,,,,,,,,,,,,,,20,6,2,3,22,9,20,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,h,,Andere bedrijven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,21,Bewaarsters van cabinets d'aisance,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,21,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,22,Boden (geen beambten in openbare dienst),D,,,,,,,,1,,,,,,2,11,,,3,5,,,41,19,,,96,10,,,65,3,,,27,,,,19,,,,13,,,,,,,,266,49,,,266,49,22,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,23,Couriers en gidsen,D,,,,,,,,,,,,,,,1,,,,,,,1,2,,,10,1,,,3,1,,,,,,,2,,,,,,,,,,,,16,5,,,16,5,23,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,24,Ezelverhuurders,A,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,24,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,25,Hofmeesters op schepen,C,,,,,,,,7,,,18,,,3,52,,1,4,17,,,61,40,1,3,80,9,6,2,20,,2,,3,,,,,,,,2,,,,,,,,173,143,9,6,182,149,25,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,26,Houtvlotters,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,3,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,26,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,27,id.,D,,,,,,,,,,,,,,,,,,,,,,2,1,,,7,,,,1,,,,,,,,2,,,,,,,,,,,,12,1,,,12,1,27,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,28,Kegeljongens,D,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,28,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,29,Kioskjuffrouwen,C,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,7,,,,2,1,,,,,,,,,,,,,,,,,,,10,2,10,2,29,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,30,Magazijnmeesters (scheepvaart) ,C,,,,,,,,,,,,,,,,,,,1,,,5,,,,3,2,,,2,,,,,,,,,,,,,,,,,,,,10,3,,,10,3,30,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,31,Parapluibewaarders,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,31,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,32,Ploegbazen,C,,,,,,,,,,,,,,,,,,,1,,,3,1,,,13,1,,,4,1,,,1,,,,1,,,,,,,,,,,,22,4,,,22,4,32,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,33,Porders,A,,,,,,,,,,,,,,,,,,1,,,,,2,2,,4,,8,1,5,,5,2,6,,5,,6,,7,,1,,6,,,,,,23,2,33,3,56,5,33,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,34,id.,D,,,,,,,,,,,,,1,,1,,,,,,,2,1,,,5,,2,,5,1,5,,,,,,,,1,,,,,,,,,,12,3,8,1,20,4,34,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,35,Scheepscontroleurs,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,35,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,36,Veemhouders,A,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,1,,,,,,,,,,,,,,,,,,,3,2,,,3,2,36,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,37,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,37,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,38,Wakers voor schepen en booten,D,,,,,,,,,,,,,,,,,,,,,,3,1,,,10,2,,,9,,,,14,,,,5,,,,3,,,,,,,,44,3,,,44,3,38,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,,Totaal voor XX,A,,,,,,,,1,,,6,,1,16,38,8,6,65,32,10,11,726,126,234,67,1543,93,521,57,652,49,280,19,192,7,91,8,134,1,59,5,58,2,44,3,,,,,3386,355,1247,177,4633,532,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,,Totaal voor XX,B,,,,,,,,,,,2,,,1,10,1,,6,4,,2,145,40,6,6,293,19,7,1,100,3,3,,18,2,2,,20,3,,,7,3,,,,,,,590,86,19,9,609,95,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,,Totaal voor XX,C,,,1,,1,1,,18,4,,53,,13,7,256,,61,40,149,1,37,495,305,11,102,621,100,16,19,145,21,7,4,31,,,,18,1,2,,3,,,,,,,,1360,904,37,242,1397,1146,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,,Totaal voor XX,D,,16,,134,12,268,36,852,55,1,1168,,42,259,3180,2,79,502,1130,1,35,6055,2523,10,38,7723,1077,31,9,3139,277,33,5,1056,59,9,4,580,24,8,4,249,16,5,,1,1,,,19565,10725,99,319,19664,11044,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,,Totaal voor groep XX,,,16,1,134,13,269,36,871,59,1,1229,,56,283,3484,11,146,613,1315,12,85,7421,2994,261,213,10180,1289,575,86,4036,350,323,28,1297,68,102,12,752,29,69,9,317,21,49,3,1,1,,,24901,12070,1402,747,26303,12817,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,XXI,,,Crediet- en bankwezen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,39,Agenten van bankinstellingen,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,39,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,40,Bankiers,A,,,,,,,,,,,,,,,,,,,,,,7,2,,,13,,,,7,,,,1,,,,1,,,,,,,,,,,,29,2,,,29,2,40,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,41,id.,B,,,,,,,,,,,,,,,1,,,,1,,,7,3,,,3,1,,,4,,,,,,,,,,,,,,,,,,,,14,6,,,14,6,41,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,42,Beleenbankhouders en personeel aan banken van leening (ook gemeentelijke) ,A,,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,1,,1,,,,,,,,,,,,,,,,,,5,1,1,,6,1,42,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,43,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,6,1,,,,,,,1,,,,1,,,,,,,,11,2,,,11,2,43,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,44,id.,C,,,,,,1,,4,,,5,,,,9,,,1,2,,,10,11,,,7,1,,,7,1,,,3,1,,,3,,,,,,,,,,,,31,35,,,31,35,44,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,,,45,id.,D,,,,,,1,,3,,,3,,,,1,,,,,,,2,,,,1,,,,2,1,,,1,,,,,,1,,,,,,,,,,6,9,1,,7,9,45,BT ,1889_02_T1,48,49,HET RIJK,29_0393
,XXI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,1,Directeuren van bank- en credietvereenigingen,B,,,,,,,,,,,,,,,,,,1,,,,10,1,,,35,5,,,19,,,,7,,,,1,,,,3,,,,,,,,76,6,,,76,6,1,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,2,Kassiers,D,,,,,,,,,,,,,,,1,,,,,,,7,2,,,14,3,1,,7,,,,3,,,,5,,,,1,,,,,,,,37,6,1,,38,6,2,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,3,id.,C,,,,,,,,,,,,,,,,,1,,1,,,3,5,,,2,,,,3,,1,,1,,,,,,,,,,,,,,,,9,6,1,1,10,7,3,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXI,A,,,,,,,,,,,,,,,1,,,,,,,7,2,,,17,,,,8,,1,,1,,,,1,,,,,,,,,,,,34,3,1,,35,3,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXI,B,,,,,,,,,,,,,,,2,,,1,1,,,24,6,,,55,10,1,,36,1,,,10,,,,7,,,,5,,,,,,,,138,20,1,,139,20,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXI,C,,,,,,1,,4,,,5,,,,9,,1,1,3,,,14,17,,,9,1,,,10,1,1,,4,1,,,3,,,,,,,,,,,,41,42,1,1,42,43,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor XXI,D,,,,,,1,,3,,,3,,,,1,,,,,,,2,,,,1,,,,2,1,,,1,,,,,,1,,,,,,,,,,6,9,1,,7,9,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,,,,Totaal voor groep XXI,,,,,,,2,,7,,,8,,,,13,,1,2,4,,,47,25,,,82,11,1,,56,3,2,,16,1,,,11,,1,,5,,,,,,,,219,74,4,1,223,75,,BT ,1889_02_T1,50,51,HET RIJK,29_0394
,XXII,,,Verzekeringswezen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XXII,BT ,1889_02_T1,50,51,HET RIJK,29_0394
