"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],,Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,20,Kooplieden,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,20,,,,,,,
,,,21,id.,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,21,,,,,,,
,,,22,Kramers en rondventers,A,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,22,,,,,,,
,,,23,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,3,,1,,4,,23,,,,,,,
,,,24,Magazijn- enpakhuisknechts,D,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,24,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XIX ,A,,,,,,,,,,,,,,1,2,,,,,,,12,6,,,18,1,7,,11,,2,,2,,3,,,1,2,,6,,3,,,,,,50,10,17,,67,10,,,,,,,,
,,,,Totaal voor XIX ,B,,,,,,,,,,,2,,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,,,,,,,,
,,,,Totaal voor XIX ,C,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,
,,,,Totaal voor XIX ,D,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,3,1,1,,4,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XIX,,,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,0,1,0,1,13,6,0,1,20,1,8,0,11,0,2,0,2,0,3,0,2,1,2,0,6,0,3,0,0,0,0,0,55,14,18,3,73,17,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XX,,,Verkeerswezen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0099,,,,,,
,,B.,,Andere vervoermiddelen te land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Huurkoetsiers,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,,,,
,,,2,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,2,,,,,,,
,,,3,Voerlieden,A,,,,,,,,,,,,,,,,,,,1,,,1,2,,,5,,,,2,,,,,,1,,1,,,,,,,,,,,,9,3,1,,10,3,3,,,,,,,
,,,4,id.,D,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,4,,,,,,,
,,C.,,Zeevaart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,5,Gezagsvoeders,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,5,,,,,,,
,,,6,Matrozen,D,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,6,,,,,,,
,,D.,,Binnenscheepvaart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,Schippers,A,,,,,,,,,,,,,,,,,,1,,,,9,,,,20,,,,,,,,2,,,,,,,,,,,,,,,,32,,,,32,,7,,,,,,,
,,,8,id.,D,,,,,,1,,2,,,2,,,,8,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,,,1,16,8,,,,,,,
,,,9,Schuitenjagers,D,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,9,,,,,,,
,,,10,Veerlieden,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,10,,,,,,,
,,E.,,"Posterij, telegraphie en telephonie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,Postambtenaren en beambten,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,,,,,,,
,,,12,id.,D,,,,,,,,,,,,,,,,,,,,,,3,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,1,12,,,,,,,
,,G.,,"Logement- en koffiehuishouderij, tapperij enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,Hotel- en logementhouders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,13,,,,,,,
,,,14,Tappers (incl. Herbergiers),A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,1,,,,2,,,,,,1,,1,,,,,,,,7,,1,,8,,14,,,,,,,
,,H.,,Andere bedrijven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,Boden (geen beambten in openbare dienst),D,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,5,,,,5,,15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XX,A,,,,,,,,,,,,,,,,,,1,1,,,13,2,,,31,,,,3,,,,4,,1,,1,,1,,1,,,,,,,,54,3,2,,56,3,,,,,,,,
,,,,Totaal voor XX,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XX,C,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,
,,,,Totaal voor XX,D,,,,,,1,,3,,,4,,,,11,,,,2,,,6,2,,,2,1,,,2,,,,,,,,,,,,,,,,,,,,10,24,,,10,24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XX,,,0,0,0,0,1,0,3,0,0,4,0,0,0,11,0,0,1,3,0,0,20,4,0,0,33,1,0,0,5,0,0,0,4,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,65,27,2,,67,27,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXIII,,,"Tussenhandel (commissiehandel, kassierderij, makelaardij, enz).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C.,,Voorwerpen van voeding en genot.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,Commissionnairs,B,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,,,,,,,,,,,,1,,,,,,,,6,1,,,6,1,16,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XXIII,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor XXIII,B,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,,,,,,,,,,,,1,,,,,,,,6,1,,,6,1,,,,,,,,
,,,,Totaal voor XXIII,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXIII,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,2,,,,,,,,,,,,1,,,,,,,,6,1,,,6,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXV,,,Vrije beroepen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,a. Geneeskundigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,17,,,,,,,
,,,18,b. Vroedvrouwen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,18,,,,,,,
,,,19,d. Veeartsen,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,19,,,,,,,
,,,20,"i. Boekhouders, schrijvers, copisten",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,20,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,,5,1,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXVI,,,"Onderwijs,(excl. openbaar onderwijs).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0100,,,,,,
,,,1,Onderwijzers (bijzondere scholen),,,,,,,,,,,,,,,,2,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,2,3,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXVI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,,,2,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXVIII,,,Huiselijke diensten (huis- en stalbedienden e. d.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,Dienstboden,,,,1,,4,,3,,27,,,,23,,,,57,,,,12,,,2,19,,,,3,,,1,,,,,,,,,,,,,,,,,,,,3,149,3,149,2,,,,,,,
,,,3,Huishoudsters,,,,,,,,,,,,,,,,,,3,,,,1,,,,8,,,,3,,,,,,,,,,,,,,,,,,,,,,,,15,,15,3,,,,,,,
,,,4,Koetsiers (heerendienst),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,4,,,,,,,
,,,5,Schoonmaaksters,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,3,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXVIII,,,0,1,0,4,0,3,0,27,0,0,0,23,0,0,0,60,0,0,0,13,0,1,2,30,0,0,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,167,10,168,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXX,,,"In dienst van der Staat (excl. Posterij, telegraphie, telephonie, landsdrukkerij en ander nijverheidsbedrijf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,C.,6,Rechts- en politiewezen (incl. notariaat),,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,6,,,,,,,
,,G.,7,"Financiewezen (rekenkamer, belastingen, kadaster, muntwezen. enz.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,2,,7,,,,,,,
,,L.,8,Andere ambten of bedieningen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,totaal voor groep XXX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXXI,,,In dienst van eene provincie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,B.,9,Waterstaat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,4,,,,4,,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXXI,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,,,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXXII,,,"In dienst van eene gemeente. (excl gasfabrieken, dienst der openbare werken en ander nijverheidsbedrijf).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A.,10,Gemeente-secretariën (incl. burgemeesters),,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,10,,,,,,,
,,B.,11,Politie en brandweer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,2,,,,2,,11,,,,,,,
,,C.,12,Financien en belastingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,12,,,,,,,
,,D.,13,Onderwijs (toezicht en onderwijzendpersoneel),,,,,,,,,,,,,,,,3,,,,1,,,4,7,,2,4,,3,1,1,,,,,,,,,,,,,,,,,,,,9,11,3,3,12,14,13,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXXII,,,,,,,,,,,,,,,,3,,,,2,,,4,7,,2,6,,3,1,2,,,,1,,,,1,,,,,,,,,,,,14,12,3,3,17,15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXXIII,,,In dienst van een waterschap.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,In dienst van een waterschap.,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,14,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXXIII,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXXIV,,,In dienst van een kerkgenootschap of kerkelijke gezindte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0101,,,,,,
,, A.,,Bedienaren van den godsdienst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Geestelijke protestant.,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,7,,,,7,,1,,,,,,,
,,C.,,Andere ambten of bedieningen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2,Andere ambten protestant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXXIV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,,,,8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XXXV,,,"Gepensioneerden (uit openbare, kerkelijke of particuliere kassen).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,Gepensioneerden (uit alle kassen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep XXXV,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RECAPITULATIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, ,,, I-XXIV,A,,,,,,,,,1,,,,2,2,7,,6,4,6,,1,87,25,10,5,183,16,14,,81,6,22,1,24,,7,,14,2,10,,29,2,7,,,,,,424,64,70,16,494,80,,,,,,,,
,,,,,B,,,,,,,,,,,2,,,,2,,,,2,,,1,4,,1,12,6,,,,,,,1,,,,,,,,1,,,,,,,,15,16,,1,15,17,,,,,,,,
,,,,,C,,,,,,,,,,,,,,,,,1,,,,1,2,2,,2,1,,,,,1,,,,,,,,,,,,,,,,,,,3,3,,4,3,7,,,,,,,,
,,,,,D,,,,3,,11,3,52,9,,79,,16,5,200,,25,11,59,1,3,110,101,7,11,156,31,15,2,68,4,12,,17,1,4,1,22,,4,,16,1,,,,,,,405,542,43,70,448,612,,,,,,,,
,,,,XXV-XXXV,,,,1,,4,,3,,27,,,,23,,5,,60,,3,,13,8,9,5,30,15,,10,7,10,,1,,2,,,,3,,,,3,,,,,,,,41,17,16,168,57,185,,,,,,,,
,,,,Zonder beroep.,,,799,815,53,63,53,60,51,87,,15,,52,1,18,18,106,,5,28,20,5,,239,44,4,12,323,23,8,8,149,4,,2,43,4,7,1,51,2,21,1,67,4,,,,,46,1018,918,1284,964,2302,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal,,,799,816,56,67,64,66,103,124,0,96,0,93,8,232,18,198,15,75,29,38,213,141,261,93,371,65,362,32,167,19,184,5,44,3,54,5,46,3,65,2,70,4,74,4,0,0,0,0,934,1660,1047,1543,1981,3203,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, Gemeente Veendam.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,I,,,"Aardewerk, diamant, glas, kalk, steenen, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,E.,4,Fabricage van dakpannen (pannenbakkers),A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,,,,,,,
,,,5,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,5,,,,,,,
,,,6,"Fabricage van steen, (molensteen, steenbakkers, tegelbakkers).",A,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,6,,,,,,,
,,,7,id.,D,,,,,,,,,,,,,,,1,,,,,,,3,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,6,1,1,,7,1,7,,,,,,,
,,,8,Steenschouwers.,A,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,8,,,,,,,
,,,9,id.,D,,,,,,,,,,,1,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,3,9,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor I,A,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,5,1,,,5,1,,,,,,,,
,,,,Totaal voor I,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor I,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
,,,,Totaal voor I,D,,,,,,,,,,,1,,,,3,,,1,,,,3,,,,2,,1,,,,,,1,,,,,,,,,,,,,,,,7,4,1,,8,4,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor groep I,,,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,5,1,0,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,1,,13,6,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,II,,,"Boek- en steendrukkerij, hout-, koper-, staalgravure, photographie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30_0102,,,,,,
,,A.,,"Boekdrukkerij, lettervervaardiging, enz. (incl Landsdrukkerij).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,Boekbinders,A,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,
,,,2,Boekdrukkers,A,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,2,,,,,,,
,,,3,id.,C,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,3,,,,,,,
,,,4,id.,D,,,,2,,1,,,,,3,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,7,,,1,7,4,,,,,,,
,,,5,Letterzetters.,C,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,5,,,,,,,
,,,6,id.,D,,,,2,,1,,2,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,12,6,,,,,,,
,,C.,,"Photograpie, enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,Photografen,A,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Totaal voor II,A,,,,,,,,,,,,,,,1,,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2,2,,,,,,,,
