"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1877",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,43,Opzichters van stoombootdiensten,C,,,,,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,43,BT,1889_02_T3,168,169,HET RIJK,29_0453
,,44,Reeders,A,,,,,,,,,,,,,,,,,,,1,,,10,3,,,15,6,,,10,,,,6,,,,4,,,,6,1,,,,,,,51,11,,,51,11,44,BT,1889_02_T3,168,169,HET RIJK,29_0453
,,45,id,B,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,45,BT,1889_02_T3,168,169,HET RIJK,29_0453
,,46,id,C,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,46,BT,1889_02_T3,168,169,HET RIJK,29_0453
,,47,Stokers,D,,,,,,,,,,,3,,,3,23,,,10,14,,,37,6,,,33,2,,,5,,,,1,,,,1,,,,,,,,,,,,90,48,,,90,48,47,BT,1889_02_T3,168,169,HET RIJK,29_0453
,,48,Stuurlieden,C,,,,,,,,1,,,3,,,,31,,,,8,,,33,59,,,66,9,,,22,4,,,3,,,,2,,,,,,,,,,,,126,115,,,126,115,48,BT,1889_02_T3,168,169,HET RIJK,29_0453
XX,D.,,Binnenscheepvaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,1,Boomsluiters,D,,,,,,,,,,,,,,,,,,,,,,1,,1,,5,,,,1,1,,,1,,,,,,,,,,,,,,,,8,1,1,,9,1,1,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,2,Bootenverhuuders,A,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,1,,,,,,,,1,,,,,,,,3,1,,,3,1,2,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,3,Bootwerkers,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,3,,,,3,,3,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,4,id.,D,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,4,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,5,Brug- en sluiswachters,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,,6,,,,6,,5,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,6,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,2,,6,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,7,id.,D,,,,,,,,,,,,,,,4,,,,1,,,5,4,,,16,,,,8,,3,,6,1,,,2,,,,,,1,,,,,,37,10,4,,41,10,7,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,8,Commisarissen van beurtveren,B,,,,,,,,,,,,,,,,,,,,,,1,1,,,4,,,,1,,,,1,,,,1,,,,1,,,,,,,,9,1,,,9,1,8,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,9,Commissionairs,B,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,1,,4,9,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,10,Gezagvoerders,A,,,,,,,,,,,,,,,1,,,2,,,,56,6,,,71,2,,,43,1,,,15,,,,9,,,,5,,,,,,,,201,10,,,201,10,10,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,11,id.,B,,,,,,,,,,,,,,,2,,,5,2,,,45,7,,,84,3,,,21,,,,7,,,,2,,,,1,,,,,,,,165,14,,,165,14,11,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,12,Matrozen,D,,,,4,,1,,17,,,28,,,1,76,,,8,25,,,55,33,,,38,9,,,13,2,,,1,,,,1,,,,,,,,,,,,117,195,,,117,195,12,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,13,Ondernemers van sleepdiensten,A,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,13,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,14,Schippers,A,,,,,,,,,,,2,,1,21,58,,3,83,46,1,,1151,210,15,3,1968,114,42,,923,42,37,2,304,8,24,1,233,3,21,,143,1,14,2,,,,,4826,484,154,12,4980,496,14,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,15,id.,B,,,,,,,,,,,1,,,1,7,,,,5,,,35,15,,,24,4,,,13,2,1,,6,1,,,,,,,2,,,,,,,,81,35,1,,82,35,15,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,16,id.,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,,,,2,,,,1,,,,,,,,,,,,,,,,7,1,,,7,1,16,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,17,id.,D,,9,1,26,,53,,255,1,1,463,,,29,1518,,,58,419,,,531,849,,1,516,173,1,,196,31,1,,58,4,1,,19,4,,,10,4,,,,,,,1418,3808,3,3,1421,3811,17,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,18,Schuitenjagers,A,,,,,,,,2,,,,,,1,2,,,,5,,,17,3,,,14,1,,,11,,,,4,,,,4,,,,,,,,,,,,51,13,,,51,13,18,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,19,id.,D,,,,1,,2,,17,,,14,,,3,46,,,4,14,,,66,22,,,69,9,2,,41,2,1,,12,,,,8,,,,5,1,,,,,,,208,128,3,,211,128,19,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,20,Schuitenverhuurders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,20,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,21,Stuurlieden,C,,,,,,,,,,,2,,,1,10,,,2,4,,,26,19,,,37,1,,,20,,,,2,1,,,,,,,,,,,,,,,88,37,,,88,37,21,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,22,Veerlieden,A,,,,,,,,,,,,,,,,,,,,,,4,3,,,14,,,,1,,1,1,3,1,1,,,,1,,1,,,,,,,,23,4,3,1,26,5,22,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,23,id.,D,,,,,,,,,,,,,,,,,,,1,,,9,2,,,9,1,2,,5,,,,4,1,,,3,,,,3,,,,,,,,33,5,2,,35,5,23,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,E.,,"Posterij, telegraphie, Telephonie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,24,Aannemers postdienst,A,,,,,,,,,,,,,,,,,,,,,,1,,,,6,,,,2,,,,1,,,,,,,,,,,,,,,,10,,,,10,,24,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,25,Brievenbestellers,D,,,,,,,,,,,6,,,3,17,,,4,13,,,173,46,,,196,2,,,33,1,,,6,,,,3,,,,1,,,,,,,,419,85,,,419,85,25,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,26,Postambtenaren en beambten,B,,,,,,,,,,,,,1,,1,,,,2,,1,19,2,,1,57,5,,,23,3,,,4,1,,,5,,,,,,,,,,,,108,14,,3,108,17,26,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,27,id.,C,,,,,,,,,,,4,,1,,46,,5,6,20,,,29,57,,12,70,10,2,1,30,2,2,,13,,,,2,,,,2,,,,,,,,152,139,4,19,156,158,27,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,28,id.,D,,,,,,,,,,,,,,1,21,,1,3,17,,,134,32,,3,166,5,,1,38,3,1,,9,,,,3,2,,,1,,,,,,,,355,80,1,5,356,85,28,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,29,Telegraphieambtenaren en beambten,B,,,,,,,,,,,,,,,,,,,,,,1,4,,,15,2,,,13,,,,5,,,,1,,,,,,,,,,,,35,6,,,35,6,29,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,30,id.,C,,,,,,,,,,,1,,,,11,,2,3,12,,,35,32,,2,17,8,,1,3,1,,,,,,,1,,,,,,,,,,,,59,65,,5,59,70,30,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,31,id.,D,,,,,,,,1,,,4,,,,1,,,2,6,,,12,2,,,18,2,,,8,,,,2,,,,,,,,,,,,,,,,42,16,,,42,16,31,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,32,Telegrambestellers,D,,,,,,,,2,,,4,,,,6,,,3,2,,,13,6,,,15,,,,8,1,,,2,,,,,,,,1,,,,,,,,42,21,,,42,21,32,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,33,Telephoonbeambten,C,,,,,,,,,,,,,,,1,,3,,1,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,5,1,7,33,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,34,id.,D,,,,,,,,,,,,,2,,,,2,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,1,6,34,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,F.,,"Expeditie, vrachters, bestellers, sjouwlieden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,35,Bestelhuishouders en dienstverrichting.,A,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,4,,,,2,,,,,,,,1,,,,,,,,,,,,9,1,1,,10,1,35,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,36,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,36,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,37,id.,D,,,,,,2,,2,,,5,,,1,13,,,1,8,,1,67,15,,,108,7,1,,40,2,3,,5,1,,,12,1,,,7,,,,,,,,241,56,4,1,245,57,37,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,38,Emballeurs,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,38,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,39,Expediteurs,A,,,,,,,,,,,,,,1,2,,,,,,,12,5,,,27,,1,,11,,,,7,2,,,1,,,,1,,,,,,,,60,9,1,,61,9,39,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,40,id.,B,,,,,,,,,,,,,,,1,,,,,,,4,3,,,20,1,,,2,,1,,1,,,,2,,,,1,,,,,,,,30,5,1,,31,5,40,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,41,id.,C,,,,,,,,2,,,3,,,,6,,,,3,,,5,4,,,11,2,,,,,,,3,,,,,,,,,,,,,,,,19,20,,,19,20,41,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,42,id.,D,,,,1,,,,2,,,10,,,6,30,,,13,2,,,78,10,,1,91,5,,,20,4,,,5,,,,4,,,,1,,,,,,,,218,64,,1,218,65,42,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,43,Kruiers,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,2,,43,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,44,id.,D,,,,,,,,,,,,,,,3,,,,2,,,9,3,,,10,1,,,2,,,,1,,,,,,,,,,,,,,,,22,9,,,22,9,44,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,45,Loopknechts en pakkendragers,D,,3,3,76,8,138,16,185,45,,87,,11,5,67,,14,3,17,,2,49,31,2,2,68,22,3,1,43,9,4,,23,3,,,14,1,2,1,9,,,,,,,,214,639,11,103,225,742,45,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,46,Scheepsbevrachters en lichters,A,,,,,,,,,,,,,,,1,,,,2,,,5,1,,,7,,,,4,,,,2,1,,,1,,,,1,,,,,,,,20,5,,,20,5,46,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,47,id.,D,,,,,,,,1,,,,,,,1,,,,,,,4,2,,1,2,,,,1,,,,,,,,,,,,,,,,,,,,7,4,,1,7,5,47,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,48,Sjouwerlieden,C,,,,,,,,,,,,,,,1,,,,2,,,5,1,,,19,1,,,9,,,,2,,,,,,,,,,,,,,,,35,5,,,35,5,48,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,49,id.,D,,,,4,,20,,85,,1,166,,,31,448,,,80,146,,1,954,344,,,1310,144,2,,666,44,,,236,13,,,143,9,,,69,6,,,1,,,,3491,1429,2,1,3493,1430,49,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,50,Turfdragers,D,,,,,,1,,,,,2,,,2,1,,,,,,,6,2,,,4,,,,4,,,,5,,,,,,,,,,,,,,,,21,6,,,21,6,50,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,G.,,"Logment- en koffiehuishouderij, tapperij enz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,51,Bierhouders,A,,,,,,,,,,,,,,1,,,,,,,,4,,1,,16,,2,,6,,2,,,,,,1,,2,,3,,2,,,,,,31,,9,,40,,51,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,52,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,1,,,,,,,,,,,,,2,1,,1,2,2,52,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,53,id.,C,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,53,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,54,Buffetchefs en juffrouwen,C,,,,,,,,,,,,1,1,,1,,10,,,,12,,2,1,9,,,,1,,,1,,,,,,,,,,,,,,,,,,,3,3,33,3,36,54,BT,1889_02_T3,170,171,HET RIJK,29_0454
,,55,Commensalenhouders,A,,,,,,,,,,,,,,1,,,,,,,,4,,3,1,4,,4,5,4,,7,2,2,,5,,,,3,,,,1,,,,,,15,,23,8,38,8,55,BT,1889_02_T3,170,171,HET RIJK,29_0454
XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,1,Gaarkeukenhouders,B,,,,,,,,,,,,,,,,,,,,,,1,,2,,1,,,,1,,1,,1,,,,,,,,1,,,,,,,,5,,3,,8,,1,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,2,Hotel- en logementhouders,A,,,,,,,,,,,,,,,1,,,6,1,,,94,12,1,2,269,12,30,7,161,8,33,1,34,1,19,1,26,2,15,,24,1,10,,,,,,614,38,108,11,722,49,2,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,3,id.,B,,,,,,,,,,,,,,,,,,,1,,,3,4,,,3,,1,,,,1,,,,,,,,,,,,,,,,,,6,5,2,,8,5,3,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,4,Koffiehuishouders,A,,,,,,,,,,,1,,,2,,,,10,,2,,94,12,5,2,223,9,34,4,93,2,29,2,26,,12,,23,,2,,12,,8,,,,,,483,24,92,8,575,32,4,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,5,id.,B,,,,,,,,,2,,,,4,,3,1,3,,,,,12,2,,,7,1,,,9,,,,3,,,,,,1,,1,,,,,,,,32,6,2,9,34,15,5,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,6,Kellners en kellnerinnen,D,,,,3,,5,,27,2,,58,,5,2,137,,9,4,34,,4,27,100,1,12,21,17,1,3,6,3,,,2,1,,,1,1,,,,,,,,,,,63,386,2,35,65,421,6,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,7,Restaurateurs,A,,,,,,,,,,,,,,,,,,,1,,,6,1,,1,21,,2,,7,,3,,,,1,,2,,1,,1,,,,,,,,37,2,7,1,44,3,7,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,8,id.,B,,,,,,,,,,,,,,,,,,,1,,,1,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,4,2,8,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,9,Tappers (incl. Herbergiers),A,,,,,,,,,,,1,,,5,2,,2,11,3,4,2,282,29,34,6,670,23,155,12,355,20,141,14,143,7,64,6,86,1,80,1,77,4,53,1,,,,,1629,90,531,44,2160,134,9,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,10,id.,B,,,,,,,,,,,,,,1,,,,,1,,,1,2,1,,1,1,1,1,2,,,,3,,,,,,,,,,,,,,,,8,4,2,1,10,5,10,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,H.,,Andere bedrijven.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,11,Boden (geen beambten in openbaren dienst),D,,,,,,,,,,,3,,,,7,,,2,3,,,18,7,,1,44,3,4,,27,2,2,,8,,2,,7,1,2,,6,,,,,,,,112,26,10,1,122,27,11,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,12,Couriers en gidsen ,D,,,,,,,,,,,,,,,1,,,,,,,1,,,,4,,,,1,,,,4,1,,,1,,,,,,,,,,,,11,2,,,11,2,12,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,13,Hofmeesters op schepen,C,,,1,,,1,,4,2,,13,,,2,26,,,,8,,,22,12,1,2,20,3,,,13,,2,1,1,,,,1,,,,,,,,,,,,59,67,3,6,62,73,13,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,14,Houtvlotters,D,,,,,,,,,,,,,,,3,,,1,4,,,6,4,,,9,3,,,2,1,,,6,,,,,,,,1,,,,,,,,25,15,,,25,15,14,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,15,Kegeljongens,D,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,15,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,16,Magazijnmeesters (scheepvaart).,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,3,1,,,1,,,,1,,,,,,,,,,,,,,,,6,2,,,6,2,16,BT,1889_02_T3,172,173,HET RIJK,29_0455
XXI,,17,Ploegbazen,C,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,17,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,18,Porders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,1,,7,,,,1,,,,1,,,,,,,,12,2,2,,14,2,18,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,19,id.,D,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2,,,,,,,,,,,,2,,,,,,,,5,,,1,5,1,19,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,20,Wakers voor schepen en boten,D,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,1,,,,1,,,,1,,,,,,,,7,1,,,7,1,20,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XX,A,,,,,,,,3,,,11,,1,37,102,1,5,128,81,7,2,2078,371,61,15,3995,232,286,28,1944,88,273,22,651,22,130,8,468,10,129,1,315,10,92,3,,,,,9616,930,979,85,10595,1015,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XX,B,,,,,,,,,2,,2,,5,2,23,1,3,5,15,,1,155,61,3,2,284,24,2,2,106,7,4,,40,3,,1,12,,1,,7,,,,,,,,611,135,11,16,622,151,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XX,C,,,1,,,1,,9,2,,46,,2,12,235,,21,30,109,,12,520,319,2,27,613,61,2,3,189,10,5,1,42,3,,,14,,,,6,1,2,,,,,,1426,794,11,69,1437,863,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XX,D,,12,4,119,8,236,16,667,48,2,1054,1,18,119,3193,3,29,306,1055,4,9,3861,2193,90,25,4305,583,124,7,1603,152,51,,505,34,7,,268,26,4,1,129,16,2,,1,,,,11099,9340,286,165,11385,9505,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor groep XX,,,12,5,119,8,237,16,679,52,2,1113,1,26,170,3553,5,58,469,1260,11,24,6614,2944,156,69,9197,900,414,40,3842,257,333,23,1238,62,137,9,762,36,134,2,457,27,96,3,1,0,0,0,22752,11199,1287,335,24039,11534,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
XXI,,,Crediet - en bankwezen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,21,Agenten van bankinstellingen,C,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,4,1,,,4,1,21,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,22,Bankiers,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,5,,,,5,,22,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,23,id.,B,,,,,,,,,,,,,,,,,,,,,,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,23,BT,1889_02_T3,172,173,HET RIJK,29_0455
XXII,,24,Beleenbankhouders en personeel aan banken van leening (ook gemeentelijk),A,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,1,,,,1,,,,,,,,,,,,5,1,,,5,1,24,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,25,id.,B,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,,,,,1,,,,,,,,,,,,4,1,,,4,1,25,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,26,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,1,1,,,1,,,,1,1,,,,,,,6,3,,,6,3,26,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,27,id.,D,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,1,,1,,2,,,,,,,,,,,,,,,,4,2,1,1,5,3,27,BT,1889_02_T3,172,173,HET RIJK,29_0455
XXII,,28,Directeuren van bank- en Credietvereenigingen,B,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,1,,,,,,,,,,,,,,,,,,,,7,,,,7,,28,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,29,Kassiers,B,,,,,,,,,,,,,,,1,,,,2,,,10,10,,1,27,7,,,10,1,,,4,,,,6,,,,3,,,,,,,,60,21,,1,60,22,29,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,30,id.,C,,,,,,,,,,,,,,,1,,,,,,,3,2,,,4,2,,,2,1,,,2,,,,,,,,,,,,,,,,11,6,,,11,6,30,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XXI,A,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,4,,,,1,,,,1,,,,,,,,,,,,10,1,,,10,1,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XXI,B,,,,,,,,,,,,,,,1,,,,2,,,12,11,,1,36,8,,,12,1,,,4,,,,7,,,,3,,,,,,,,74,23,,1,74,24,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XXI,C,,,,,,,,,,,,,,,1,,,,,,,4,3,,,7,3,,,3,1,,,4,1,,,2,,,,1,1,,,,,,,21,10,,,21,10,,BT,1889_02_T3,172,173,HET RIJK,29_0455
,,,Totaal voor XXI,D,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,1,,,1,,1,,2,,,,,,,,,,,,,,,,4,2,1,1,5,3,,BT,1889_02_T3,172,173,HET RIJK,29_0455
