"Tabel 1. Indeeling der werkelijke bevolking naar de beroepen onder vijf en dertig beroepsklassen, gerangschikt in alphabetische volgorde; positie in het beroep; geslacht; leeftijd; burgerlijken staat; gevolgd door eene opgave van het aantal beroepsklassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeente,Nummer der beroepsklasse [NB: Romeinse cijfers],Letter (Onderdeel beroepsklasse),Regelnummer [NB: Arabische cijfers],"BENAMING van de onderdeelen der onderscheidene beroepsklassen, met de daartoe behoordende beroepen","Positie in het beroep (aangeduid met A, B, C of D)",,Geboortejaren.  leeftijd in j.,1878 en later. beneden 12 j.,"12   1878",,"13   1876",,"14 --- 15  1875   --- 1874",,"16 --- 17  1873   --- 1872",,,,"18 --- 22  1871   --- 1867",,,,"23 --- 24  1866   --- 1865",,,,"25 --- 35  1864   --- 1854",,,,"36 --- 50  1853   --- 1839",,,,"51 --- 60  1838   --- 1829",,,,"61 --- 65  1828   --- 1824",,,,"66 --- 70  1823 --- 1818",,,,"71 en daarboven  1818 en vroeger",,,,"Van onbekenden leeftijd",,,,"TOTAAL DER MANNEN",,"TOTAAL DER VROUWEN",,"TOTAAL DER MANNEN EN VROUWEN",,Regelnummer [NB: Arabische cijfers],Telling,Tabel,Pagina links,Pagina rechts,Provincie,Image nr
,,,18,Winkelbedienden,C,,,,1,,,,5,,,2,,,,6,,1,,1,,1,1,3,,,1,,,,,,,,,,,,,,,1,,,,,,,,,2,18,,3,2,21,18,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,Handel in levend vee en gevogelte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,19,Arbeiders,D,,,,,,,,8,,,12,,,,29,,3,1,8,,,10,24,,1,2,4,,,5,,,,,,,,1,,,,,,,,,,,,19,85,,4,19,89,19,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,20,Kooplieden,A,,,,,,,,1,,,11,,,16,133,1,,23,65,,,416,245,,,768,136,3,,352,38,,,139,10,2,,59,12,,,42,6,,,,,,,1815,657,6,,1821,657,20,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,21,id.,B,,,,,,,,,,,2,,,,11,,,,6,,,3,16,,,4,1,,,5,1,,,1,,,,,,,,,,,,,,,,13,37,,,13,37,21,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,22,Winkeliers,A,,,,,,,,,,,1,,,,2,,,,1,,,4,1,,,10,2,,,3,2,,,2,,,,2,,,,,,,,,,,,21,9,,,21,9,22,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,23,Winkelbedienden,C,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,23,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,H.,,Handel in andere waren.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,24,Arbeiders,D,,,,,,2,,6,,,6,,,,17,,,1,1,,,14,5,,,19,5,,1,16,2,,,4,,,,3,1,,,1,,,,,,,,58,45,,1,58,46,24,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,25,Depothouders,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,25,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,26,Kooplieden,A,,,,,,,,4,,,13,,,4,54,,1,17,20,,,146,61,5,3,283,48,14,4,158,22,16,2,70,11,7,2,48,7,2,1,41,2,8,,1,,,,768,242,52,13,820,255,26,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,27,id.,B,,,,,,,,,,,2,,,,7,,,,,,,3,6,,,,1,,,,,,,1,,,,1,,,,1,,,,,,,,6,16,,,6,16,27,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,28,Kramers en rondventers,A,,1,,2,,6,1,17,1,,39,,4,2,80,2,8,9,32,2,5,94,85,9,8,182,28,56,11,109,14,35,9,39,1,14,3,31,3,10,3,32,4,7,4,,,,,498,312,185,57,633,369,28,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,29,id.,D,,3,,8,1,14,2,44,9,,36,1,8,2,81,1,13,1,34,,4,75,56,20,19,142,34,54,7,64,16,31,9,34,5,11,,20,5,10,1,16,2,7,,,,1,,354,338,136,73,490,411,29,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,30,Machineverhuurders,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,30,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,31,Magazijn- en pakhuiskechts,C,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,2,,31,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,32,id.,D,,,,1,,3,,3,,,11,,,2,54,,1,5,25,,,57,33,,,64,8,,,26,,1,,13,,,,9,2,,,2,,,,,,,,178,140,1,1,179,141,32,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,33,Tagrijnen (oudroestverkoopers),A,,,,,,,,,,,4,,,,7,,,3,,,,13,3,1,,17,1,1,,8,,,,1,,,,3,,,,1,,,,,,,,46,15,2,,48,15,33,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,34,id.,D,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,34,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,35,Uitdragers,A,,,,,,,,,,,,,,1,,,,2,,,,2,,,,7,,,,1,,1,,2,,1,,,1,,,2,,,,,,,,17,1,2,,19,1,35,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,36,Voddenrapers,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,36,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,37,Water- en vuurverkoopers,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,9,,2,,1,,1,,4,,2,,4,,1,,2,,,,,,8,1,20,,28,1,37,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,38,Winkeliers,A,,,,,,,,,,,1,,,2,4,,1,,3,,,29,9,8,5,60,5,16,6,26,4,10,4,15,,6,,8,,8,,14,,9,1,,,,,154,26,57,17,211,43,38,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,39,id.,B,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,39,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,40,Winkelbedienden,C,,1,,,,1,,7,,,3,,1,,10,,1,,1,,1,6,3,,,3,1,,,1,,,,,,,2,,,,,,,,2,,,,,10,27,,7,10,34,40,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,Totaal voor XIX,A,,1,,2,,10,1,50,1,,186,2,11,96,796,30,93,248,391,33,31,3740,1290,494,181,6861,785,1634,314,3660,303,1238,207,1372,92,625,93,993,70,485,65,835,58,505,74,5,,2,,17810,4034,5048,1071,22858,5105,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,Totaal voor XIX,B,,,,,,1,,3,,,25,,,1,90,,2,4,30,2,3,69,83,10,4,85,22,30,7,45,7,25,5,17,1,7,3,9,,5,2,4,,15,,,,,,234,262,94,26,328,288,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,Totaal voor XIX,C,,3,1,6,3,39,5,158,27,,212,,38,2,458,,120,5,121,1,48,70,205,7,129,58,54,7,48,31,7,5,11,9,1,1,6,7,1,2,3,1,1,1,3,,,,,183,1266,24,442,207,1708,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,Totaal voor XIX,D,,3,,16,1,33,4,126,9,,165,1,21,8,389,2,41,28,124,3,10,343,245,30,24,465,100,88,9,215,27,48,9,84,7,17,1,61,9,17,1,27,3,10,2,,,1,,1231,1247,217,132,1448,1379,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,Totaal voor groep XIX,,,7,1,24,4,83,10,337,37,0,588,3,70,107,1733,32,256,285,666,39,92,4222,1823,541,338,7469,961,1759,378,3951,344,1316,232,1482,101,650,103,1070,80,509,71,867,62,531,79,5,0,3,0,19458,6809,5383,1671,24841,8480,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,XX,,,Verkeerswezen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,A.,,Spoor en tram.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,41,Agenten,B,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,2,1,41,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,42,Arbeiders,C,,,,,,,,1,,,,,,,3,,,1,1,,,32,2,,,61,2,,,19,,,,2,,,,,,,,,,,,,,,,115,9,,,115,9,42,BT,1889_02_T4,226,227,HET RIJK,29_0482
,,,43,id.,D,,,,,,1,,8,,,23,,,9,94,,,26,29,5,,531,98,16,1,501,23,33,,117,1,7,,24,,,,11,,1,,6,,,,,,,,1225,277,62,1,1287,278,43,BT,1889_02_T4,226,227,HET RIJK,29_0482
,XX,,1,Beambten,C,,,,,,1,,1,,,11,,,,40,,,8,24,,,176,43,4,,146,10,10,1,55,1,2,,12,1,,1,5,,,,2,,,,,,,,404,132,16,2,420,134,1,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,2,id.,B,,,,,,,,6,,,18,,,4,49,7,4,16,19,7,2,273,58,133,6,347,10,167,,88,2,44,,17,1,7,,4,,4,2,5,,,,,,,,754,163,369,14,1123,177,2,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,3,Conducteurs,C,,,,,,,,,,,,,,,4,,,,2,,,11,3,,,4,,,,1,,,,,1,,,,,,,,,,,,,,,16,10,,,16,10,3,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,4,Directeuren,B,,,,,,,,,,,,,,,,,,,,,,1,2,,,3,,,,1,,,,,,,,,,,,,,,,,,,,5,2,,,5,2,4,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,5,Koetsiers,D,,,,,,,,,,,,,,,11,,,,6,,,14,7,,,13,2,,,9,1,,,1,,,,1,,,,,,,,,,,,38,27,,,38,27,5,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,6,Machinisten,C,,,,,,,,,,,,,,,,,,,,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,3,1,6,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,B.,,Andere vervoersmiddelen te land.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,7,Huurkoetsiers,A,,,,,,,,,,,1,,,,4,,,,4,,,31,14,,,78,15,3,,41,4,2,,10,2,1,2,19,,3,,8,,,,,,,,187,44,9,2,196,46,7,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,8,id.,B,,,,,,,,,,,1,,,,,,,,,,,1,2,,,,1,,,1,,,,,,,,,,,,,,,,,,,,2,4,,,2,4,8,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,9,id.,D,,1,,3,,2,,19,,,20,,,,68,,,,31,,,54,63,,,67,12,,,21,9,,,10,7,,,5,2,,,4,1,,,,,,,161,238,,,161,238,9,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,10,Karrenverhuurders,A,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,10,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,11,Ondernemers van omnibusdienst,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,11,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,12,Voerlieden,A,,,,,,,,1,,1,,,,3,25,,,9,12,,,259,105,,,609,68,6,,338,20,10,,102,10,3,,86,3,2,,39,2,2,,,,,,1446,246,23,,1469,246,12,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,13,id.,B,,,,,,,,,,,2,,,,7,,,1,4,,,1,12,,,9,4,,,2,1,,,,,,,,,,,,,,,,,,,13,30,,,13,30,13,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,14,id.,D,,,,1,,8,,26,,,50,,,1,189,,,12,65,,,153,169,,,166,59,,1,68,15,,,13,1,,,7,,,,4,,,,,,,,424,583,,1,424,584,14,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,C.,,Zeevaart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,15,Ankerzetters,D,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,,,6,,,,6,,15,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,16,Bootslieden,C,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,16,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,17,Commissarissen van stoombooten,B,,,,,,,,,,,,,,,,,,,,,,1,,,,5,1,,,6,,,,,,,,3,,,,1,,,,,,,,16,1,,,16,1,17,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,18,Directeuren van stoombootonderneming,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,2,,,,2,,18,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,19,Gezagvoerders,A,,,,,,,,,,,,,,,1,,,,,,,4,3,,,23,,,,9,,,,3,,,,,,,,,,,,,,,,39,4,,,39,4,19,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,20,id.,B,,,,,,,,,,,1,,,,2,,,,,,,4,4,,,30,3,,,9,1,,,1,,,,,,,,,,,,,,,,44,11,,,44,11,20,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,21,Kwartiermeesters (zeevaart),C,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,21,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,22,Loodsen (particuliere),A,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,2,,,,1,,,,,,,,1,,,,,,,,7,,,,7,,22,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,23,Machinisten (stoomboot),C,,,,,,,,2,,,,,,,12,,,5,5,,,31,10,,,26,1,,,3,,,,1,,,,,,,,1,1,,,,,,,67,31,,,67,31,23,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,24,Matrozen,D,,,,,,4,,26,,,82,,,4,301,,,11,90,,,155,166,,,135,30,,,37,6,,,13,1,,,1,,,,,,,,,,,,356,706,,,356,706,24,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,25,Ondernemers van stoombootdiensten,A,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,1,,,,1,,,,,,,,,,,,3,1,,1,3,2,25,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,26,Opzichters van stoombootdiensten,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,26,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,27,Reeders,A,,,,,,,,,,,,,,,,,,,,,,1,1,,,6,1,,,3,,,,2,,,,3,,,,2,,,,,,,,17,2,,,17,2,27,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,28,Stokers,D,,,,,,,,1,,,5,,,,12,,,3,,,,7,4,,,9,,,,1,,,,1,,,,,,,,,,,,,,,,21,22,,,21,22,28,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,29,Stuurlieden,C,,,,,,,,2,,,5,,,,25,,,1,16,,,39,37,,,66,7,,,15,,,,1,,,,1,,,,,,,,,,,,123,92,,,123,92,29,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,D.,,Binnenscheepvaart.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,30,Boomsluiters,D,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,,30,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,31,Bootenverhuurders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,31,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,32,Bootwerkers,D,,,,,,,,5,,,1,,,,7,,,1,,,,17,6,,,18,5,,,1,,,,1,,,,,1,,,,,,,,,,,38,25,,,38,25,32,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,33,Brug- en sluiswachters,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,33,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,34,id.,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,34,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,35,id.,D,,,,,,,,,,,,,,,1,,,,,,,2,,,,3,,,,1,,,,1,,,,,,,,2,,,,,,,,9,1,,,9,1,35,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,36,Commissarissen van beurtveren,B,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,1,,,1,,,,1,,,,,,,,4,2,,,4,2,36,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,37,Gezagsvoeders,A,,,,,,,,,,,,,,,2,,,1,1,,,11,,,,28,2,,,6,1,,,1,,,,,,,,1,,,,,,,,48,6,,,48,6,37,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,38,id.,B,,,,,,,,,,,,,,1,5,,,3,1,,,28,12,,,45,2,,,12,1,,,2,,,,,,,,,,,,,,,,91,21,,,91,21,38,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,39,Matrozen,D,,,,,,2,,11,,,10,,,1,20,,,1,8,,,15,14,,,10,3,,,8,,,,1,,,,1,,,,,,,,,,,,37,68,,,37,68,39,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,40,Ondernemers van sleepdiensten,A,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,2,,40,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,41,Schippers,A,,,,,,,,6,,,21,,,23,112,,,81,96,1,,1216,250,7,,1977,175,30,,1062,48,28,,381,15,12,,241,8,11,,135,10,14,,,,,,5116,741,103,,5219,741,41,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,42,id.,B,,,,,,,,1,,,,,,,18,,,1,12,,,27,26,,,29,6,,,11,1,,,3,,,,4,,,,,,,,,,,,75,64,,,75,64,42,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,43,id.,C,,,,,,,,,,,,,,,4,,,1,,,,3,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,7,5,,,7,5,43,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,44,id.,D,,8,,27,,82,,329,,,573,,,55,1814,,,56,589,,,772,1134,,,522,215,2,1,197,49,,,67,11,1,,39,4,,,13,1,,,,1,,,1721,4837,3,1,1724,4838,44,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,45,Schuitenjagers,A,,,,,,,,,,,,,,,,,,,,,,13,2,,,18,,,,14,,,,,,,,1,1,,,,,,,,,,,46,3,,,46,3,45,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,46,id.,D,,,,1,,3,,13,,2,17,,,3,37,,,4,7,1,,27,40,,,75,18,,,32,3,1,,12,,,,12,1,,,4,2,,,,,,,171,142,2,,173,142,46,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,47,Schuitenverhuurders,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,1,,47,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,48,Stuurlieden,C,,,,,,,,,,,,,,,3,,,1,1,,,13,8,,,18,1,,,5,1,,,2,,,,2,,,,,,,,,,,,41,14,,,41,14,48,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,49,Veerlieden,A,,,,,,,,,,,,,,,1,,,,1,,,10,3,,,18,1,,,11,,1,,5,,,,1,,,,5,,1,,,,,,50,6,2,,52,6,49,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,50,id.,D,,,,1,,,,1,,,3,,,,13,,,,13,,,23,23,,,39,16,,,27,3,2,,8,4,,,6,1,,,6,1,,,,,,,109,79,2,,111,79,50,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,E.,,"Posterij, telegraphie, telephonie.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,51,Brievenbestellers,D,,,,,,,,1,,,4,,,1,39,,,13,14,1,,128,66,,,167,17,,1,34,5,,,9,1,1,,11,,,,2,,,,,,,,365,147,2,1,367,148,51,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,52,Postambtenaren en beambten,B,,,,,,,,,,,,,,,,,,,1,,,24,7,,2,76,15,,,19,5,,,8,,,,4,,,1,1,,,,,,,,132,28,,3,132,31,52,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,53,id.,C,,,,,,,,,,,8,,,,44,,2,3,18,,2,58,50,1,10,111,13,7,5,71,12,,2,30,2,,,16,,,,7,,,,,,,,296,147,8,21,304,168,53,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,54,id.,D,,,,1,,,,,,,9,,,2,38,,,15,25,,,232,83,,,259,32,,1,88,5,1,,21,,,,6,,,,3,,,,,,,,626,193,1,1,627,194,54,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,55,Tegraphieambtenaren en beambten,B,,,,,,,,,,,,,,,,,,,,,,3,,,1,6,,,,3,,,,,,,,,,,,,,,,,,,,12,,,1,12,1,55,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,56,id.,C,,,,,,,,,,,,,,,6,,,,3,,,11,8,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,14,19,1,1,15,20,56,BT,1889_02_T4,228,229,HET RIJK,29_0483
,,,57,id.,D,,,,,,,,,,,5,,,,8,,1,,2,,,6,2,,,2,1,,,1,,,,,,,,,,,,,,,,,,,,9,18,,1,9,19,57,BT,1889_02_T4,228,229,HET RIJK,29_0483
,XX,,1,Telegrambestellers,D,,,,,,1,,2,,,1,,,,7,,,,1,,,2,2,1,,7,1,,1,4,1,,,1,,,,,,,,2,,,,,,,,16,16,1,1,17,17,1,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,2,Telephoonbeambten,C,,,,,,,,,,,1,,,,1,,2,,1,,2,2,,1,1,1,,2,,1,,,1,,,,,,,,,,,,,,,,,4,3,3,6,7,9,2,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,3,id.,D,,,,,,,,,,,,,1,,,,,,1,,1,1,1,,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,3,2,1,3,4,5,3,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,F.,,"Expeditie, vrachters, bestellers, sjouwerlieden.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,4,Bestelbushouders en dienstverrichtingen,A,,,,,,,,,,,,,,,1,,,,1,,,9,,,,11,1,1,,7,,3,,,,,,2,,,,2,,,,,,,,31,3,4,,35,3,4,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,5,id.,C,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,5,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,6,id.,D,,,,,,1,,4,,,9,,,,23,,,2,9,,,36,14,1,,65,5,4,,32,,3,,11,1,,1,7,1,1,,2,,1,,,,,,155,67,10,1,165,68,6,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,7,Expediteurs,A,,,,,,,,,,,,,,,,,,,,,,3,5,,,15,,,,11,,1,,3,,,1,1,2,,,1,,1,,,,,,34,7,2,1,36,8,7,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,8,id.,B,,,,,,,,,,,,,,,,,,,1,,,2,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3,4,,,3,4,8,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,9,id.,C,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,9,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,10,id.,D,,,,,,,,,,,1,,,,2,,,,,,,6,2,,,3,4,,,,,,,1,,,,1,,,,1,,,,,,,,12,9,,,12,9,10,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,11,Kruiers,D,,,,,,,,,,,,,,,2,,,,1,,,3,4,,,3,,,,4,,,,,,,,,,,,,,,,,,,,10,7,,,10,7,11,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,12,Loopknechts en pakkendragers,D,,3,,19,12,28,3,70,10,,29,,3,3,45,,2,2,8,,,35,20,,1,48,10,5,2,28,6,3,1,13,2,7,1,4,,1,,6,,,,,,,,139,240,16,35,155,275,12,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,13,Scheepsbevrachters en -lichters,A,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,2,,,1,,,,,,,,1,,,,,,,,,,,,4,3,,,4,3,13,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,14,id.,D,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,14,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,15,Sjouwerlieden,C,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,15,BT,1889_02_T4,230,231,HET RIJK,29_0484
,,,16,id.,D,,1,,5,,13,,51,,,86,,1,16,226,,,20,72,,,365,175,,,548,75,,,288,26,1,,93,5,,,65,2,,,59,1,,,,,,,1454,738,1,1,1455,739,16,BT,1889_02_T4,230,231,HET RIJK,29_0484
